name,preco,avaliacao
Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,2.099,(560)
Aquecedor Elétrico Versátil 220v/5500w Branco Lorenzetti,259,(2485)
Samsung Galaxy A13 Dual SIM 128 GB preto 4 GB RAM,1.599,(792)
Cadeira de escritório Travel Max MB-6010  preta com estofado de tecido,449,(416)
Câmera de segurança Intelbras iM3 com resolução de 2MP visão nocturna incluída preta,329,(1606)
"TV Philco PTV32T10EDP LED HD 32"" 100V/220V",1.499,(7)
Fechadura Eletrônica Digital  Fr 101 Intelbras Touch Screen,519,(55)
Edredom Sherpa Cobertor E Coberdrom Casal Queen Grosso Cores,199,(306)
"Monitor gamer LG 24MK430H led 23.8 "" preto 100V/240V",1.499,(446)
"Smart TV Philips 6800 Series 43PFG6825/78 LED Full HD 43"" 110V/240V",2.799,(249)
Cadeira Gamer Reclinável Strike Healer Vermelho/preto,1.250,(5)
Câmera de segurança Intelbras iM3 com resolução de 2MP visão nocturna incluída branca,389,(1606)
Kit 4 Câmeras Intelbras 1120b Dvr 4 Canais Com Hd Completo,1.269,(141)
Samsung Galaxy A03 Dual SIM 64 GB azul 4 GB RAM,1.299,(1415)
"Pc Computador Cpu Intel Core I5 + Ssd 240gb, 8gb Memória Ram",1.829,(365)
Kit Bota Caterpillar Couro Original Chinelo Carteira Cinto,139,(1170)
Kit 2x Whey Protein + 2x Bcaa + 2x Creatina + Coqueteleira,199,(2201)
Jogo De Ferramentas Kit 129 Peças C/ Maleta + 40 Peças,148,(4727)
Kit 5 Refletor Led 200w Holofote Bivolt Prova Dágua Luz Frio,528,(70)
Kit Mesinha E 2 Cadeira Poltrona Infantil Plástica Arqplast,179,(12)
Pistola Pintura Pulverizadora Tinta Paint Com Bico De Metal,218,(2289)
Fritadeira Elétrica Sem Óleo Multilaser Air Fryer 4l 127v,449,(455)
Kit Combo Motor 80cc Para Bicicleta Bike Motorizada Promoção,913,
Arame Farpado Belgo Fortte® - 500m Belgo Bekaert Arames,478,(10)
Kit 3 Calças Lisa Moletom Masculina Sport Academia Treino,189,(263)
Cortina Oxford De Sala/quarto 300x250 Revenda,67,(1778)
"Cabo Flexível Sil 2,5mm Rolo 100mts ( Escolha A Cor )",226,(116)
Samsung Galaxy M23 5G 128 GB deep green 6 GB RAM,1.529,(321)
Mesa Para Computador Gamer Madesa 9409 - Preto,429,(1027)
